timeDate,avrgCo2,pState0,pState1,pState2,pState3,pState4
2022-11-23,970.3704545454545,0.44181818181818183,0.1509090909090909,0.3472727272727273,0.06,0
2022-11-24,1084.825,0.20625,0.25625,0.39375,0.14375,0
2022-11-25,1438.6503267973856,0.1111111111111111,0.0915032679738562,0.32679738562091504,0.3464052287581699,0.12418300653594772
2022-11-28,1039.2396953405018,0.27060931899641577,0.2921146953405018,0.34946236559139787,0.08781362007168458,0
2022-11-29,1212.0878136200718,0.17204301075268819,0.25089605734767023,0.36917562724014336,0.2025089605734767,0.005376344086021506
2022-11-30,1150.30900621118,0.2194616977225673,0.2567287784679089,0.2919254658385093,0.2318840579710145,0
2022-12-1,1347.1375448028673,0.0967741935483871,0.15053763440860216,0.4336917562724014,0.23118279569892472,0.08781362007168458
2022-12-2,1168.898245614035,0.19298245614035087,0.1649122807017544,0.45964912280701753,0.1824561403508772,0
2022-12-5,1051.9884868421052,0.19736842105263158,0.3092105263157895,0.3618421052631579,0.13157894736842105,0
2022-12-6,1055.6827956989248,0.3118279569892473,0.25089605734767023,0.32437275985663083,0.11290322580645161,0
2022-12-7,973.8802631578948,0.1649122807017544,0.5877192982456141,0.24736842105263157,0,0
2022-12-8,1295.1483870967743,0.16129032258064516,0,0.632258064516129,0.2064516129032258,0
2022-12-9,1256.7092105263157,0.12105263157894737,0.23333333333333334,0.37719298245614036,0.26842105263157895,0
2022-12-12,1169.377192982456,0.11578947368421053,0.22280701754385965,0.5807017543859649,0.08070175438596491,0
2022-12-13,1058.1030701754387,0.24561403508771928,0.25087719298245614,0.4964912280701754,0.007017543859649123,0
2022-12-14,1300.0062761506276,0.1401673640167364,0.07531380753138076,0.45397489539748953,0.3305439330543933,0
2022-12-15,1336.7307001795332,0.08617594254937164,0.13285457809694792,0.45960502692998206,0.3213644524236984,0
2022-12-16,1274.8592105263158,0.14736842105263157,0.13157894736842105,0.4543859649122807,0.19824561403508772,0.06842105263157895
2022-12-19,1023.6657608695652,0.29891304347826086,0.125,0.5760869565217391,0,0
2022-12-20,1207.0701133144476,0.22662889518413598,0.17280453257790368,0.26062322946175637,0.33994334277620397,0